Price,Open,High,Low,Vol.,Day,Month,Year,DayOfWeek,
995.4,963.4,"1,001.60",956.1,41.15,1,1,2017,6,995.4
"1,017.00",995.4,"1,031.70",990.2,64.95,2,1,2017,0,"1,017.00"
"1,033.30","1,017.00","1,035.50","1,006.50",54.79,3,1,2017,1,"1,033.30"
"1,135.40","1,033.30","1,148.50","1,022.30",156.27,4,1,2017,2,"1,135.40"
989.3,"1,135.40","1,150.60",874.5,240.01,5,1,2017,3,989.3
886.2,989.3,"1,027.40",852.5,194.29,6,1,2017,4,886.2
888.9,886.2,900.9,806.7,130.66,7,1,2017,5,888.9
900.9,888.9,936.1,875.8,76.91,8,1,2017,6,900.9
899.8,900.9,910.5,870.9,62.58,9,1,2017,0,899.8
904.4,899.8,911.3,890.1,53.71,10,1,2017,1,904.4
785.4,904.4,917.7,751.6,194.44,11,1,2017,2,785.4
810.1,785.4,828.2,739.5,120.24,12,1,2017,3,810.1
824.8,810.1,835,771,89.86,13,1,2017,4,824.8
819.6,824.8,838.9,808.3,44.21,14,1,2017,5,819.6
821.2,819.6,826.4,808.6,24.4,15,1,2017,6,821.2
827.3,821.2,836.7,817.7,33.22,16,1,2017,0,827.3
899.7,827.3,906.4,825,82.21,17,1,2017,1,899.7
872,899.7,913.7,845.9,69.26,18,1,2017,2,872
895.2,872,905.3,870.7,58.44,19,1,2017,3,895.2
892.9,895.2,901.5,878.9,38.87,20,1,2017,4,892.9
919.8,892.9,928.9,889.5,40.38,21,1,2017,5,919.8
918.8,919.8,938.4,888.6,47.93,22,1,2017,6,918.8
921.5,918.8,928,910.8,32.74,23,1,2017,0,921.5
893.8,921.5,925.6,889.2,58.87,24,1,2017,1,893.8
894.4,893.8,905.7,883.6,37.9,25,1,2017,2,894.4
915.6,894.4,919.3,893.5,33.8,26,1,2017,3,915.6
918,915.6,922.6,907.9,30.97,27,1,2017,4,918
918.5,918,921.9,912.8,14.31,28,1,2017,5,918.5
914.5,918.5,922.4,912.7,11.05,29,1,2017,6,914.5
920.7,914.5,922.3,911.5,19.06,30,1,2017,0,920.7
965.5,920.7,967.5,917.4,54.67,31,1,2017,1,965.5
982.4,965.5,986.6,959.8,45.22,1,2,2017,2,982.4
"1,004.00",982.4,"1,009.10",973.5,50.86,2,2,2017,3,"1,004.00"
"1,013.00","1,004.00","1,023.70",989.2,61.67,3,2,2017,4,"1,013.00"
"1,031.80","1,013.00","1,041.00","1,000.40",39.46,4,2,2017,5,"1,031.80"
"1,016.10","1,031.80","1,033.70","1,004.00",31.06,5,2,2017,6,"1,016.10"
"1,024.70","1,016.10","1,030.60","1,010.80",32.02,6,2,2017,0,"1,024.70"
"1,049.60","1,024.70","1,054.10","1,019.90",39.55,7,2,2017,1,"1,049.60"
