Percent Change,High Percent,Low Percent,Day,Month,Year,DayOfWeek,Y
1,1.039651235,0.99242267,1,1,1,6,1.033215694
1.033215694,1.036467752,0.994775969,2,1,1,0,1.021699819
1.021699819,1.018190757,0.989675516,3,1,1,1,1.016027532
1.016027532,1.111487467,0.989354495,4,1,1,2,1.098809639
1.098809639,1.013387352,0.770213141,5,1,1,3,0.871322882
0.871322882,1.038512079,0.861720408,6,1,1,4,0.895784898
0.895784898,1.016587678,0.910291131,7,1,1,5,1.003046716
1.003046716,1.053099336,0.985262684,8,1,1,6,1.013499831
1.013499831,1.010656011,0.966699967,9,1,1,0,0.998778999
0.998778999,1.012780618,0.989219827,10,1,1,1,1.005112247
1.005112247,1.014705882,0.831048209,11,1,1,2,0.868421053
0.868421053,1.054494525,0.941558442,12,1,1,3,1.031448943
1.031448943,1.030736946,0.951734354,13,1,1,4,1.018145908
1.018145908,1.017095053,0.97999515,14,1,1,5,0.993695441
0.993695441,1.00829673,0.986578819,15,1,1,6,1.001952172
1.001952172,1.018874817,0.995737944,16,1,1,0,1.007428154
1.007428154,1.095612233,0.997219872,17,1,1,1,1.087513598
1.087513598,1.015560742,0.94020229,18,1,1,2,0.96921196
0.96921196,1.038188073,0.998509174,19,1,1,3,1.026605505
1.026605505,1.007037534,0.981791778,20,1,1,4,0.997430742
0.997430742,1.040318065,0.996192183,21,1,1,5,1.030126554
1.030126554,1.020221787,0.966079583,22,1,1,6,0.998912807
0.998912807,1.010013061,0.991292991,23,1,1,0,1.002938616
1.002938616,1.004449267,0.964948454,24,1,1,1,0.969940315
0.969940315,1.01331394,0.988588051,25,1,1,2,1.000671291
1.000671291,1.027839893,0.998993739,26,1,1,3,1.023703041
1.023703041,1.00764526,0.991590214,27,1,1,4,1.002621232
1.002621232,1.004248366,0.994335512,28,1,1,5,1.000544662
1.000544662,1.004246053,0.993685357,29,1,1,6,0.995645073
0.995645073,1.008529251,0.996719519,30,1,1,0,1.006779661
1.006779661,1.05083089,0.996415771,31,1,1,1,1.048658629
1.048658629,1.021853962,0.994096323,1,2,1,2,1.017503884
1.017503884,1.027178339,0.990940554,2,2,1,3,1.021986971
1.021986971,1.019621514,0.985258964,3,2,1,4,1.008964143
1.008964143,1.027640671,0.987561698,4,2,1,5,1.018558736
1.018558736,1.001841442,0.973056794,5,2,1,6,0.984783873
0.984783873,1.014270249,0.994783978,6,2,1,0,1.008463734
1.008463734,1.028691324,0.995315702,7,2,1,1,1.024299795
1.024299795,1.01867378,0.972084604,8,2,1,2,1.005621189
1.005621189,1.01657982,0.876077688,9,2,1,3,0.927522501
0.927522501,1.027170582,0.967313585,10,2,1,4,1.018998979
1.018998979,1.016740176,0.986267041,11,2,1,5,1.010725742
1.010725742,0.999504116,0.98433006,12,2,1,6,0.988297134
0.988297134,1.011138986,0.978524837,13,2,1,0,0.998896136
0.998896136,1.018485031,0.991058871,14,2,1,1,1.012959614
1.012959614,1.002578598,0.991470792,15,2,1,2,0.999900823
0.999900823,1.031838921,0.999206507,16,2,1,3,1.023507241
1.023507241,1.024711697,0.994185483,17,2,1,4,1.016959008
1.016959008,1.013150372,0.99552125,18,2,1,5,1.002763484
1.002763484,1.003991257,0.98612563,19,2,1,6,0.996768982
0.996768982,1.031366193,0.9924683,20,2,1,0,1.027361998
1.027361998,1.042130661,0.996195249,21,2,1,1,1.038418708
1.038418708,1.011885612,0.978373548,22,2,1,2,1.001340483
1.001340483,1.054529228,0.993752789,23,2,1,3,1.045872378
1.045872378,1.033961942,0.932161447,24,2,1,4,1.00392525
1.00392525,1.002974926,0.948746281,25,2,1,5,0.976710582
0.976710582,1.024714994,0.983900444,26,2,1,6,1.019580541
1.019580541,1.020655514,0.993769205,27,2,1,0,1.014680778
1.014680778,1.016318977,0.989064603,28,2,1,1,1.000420592
